college,state_code,state_name,region,division,public_or_private,number_applications_received,number_applications_accepted,number_applications_not_accepted,percentage_applications_accepted,number_new_students_enrolled,percentage_new_students_from_top_10,percentage_new_students_from_top_25,number_ft_undergrad,number_pt_undergrad,in_state_tuition,out_of_state_tuition,room,board,additional_fees,estimated_book_costs,estimated_personal_spending,percentage_faculty_with_phd,student_faculty_ratio,graduation_rate
Alaska Pacific University,AK,Alaska,West,Pacific,private,193.0,146.0,47.0,75.65,55.0,16.0,44.0,249.0,869.0,7560.0,7560.0,1620.0,2500.0,130.0,800.0,1500.0,76.0,11.9,15.0
University of Alaska at Fairbanks,AK,Alaska,West,Pacific,public,1852.0,1427.0,425.0,77.05,928.0,,,3885.0,4519.0,1742.0,5226.0,1800.0,1790.0,155.0,650.0,2304.0,67.0,10.0,
University of Alaska Southeast,AK,Alaska,West,Pacific,public,146.0,117.0,29.0,80.14,89.0,4.0,24.0,492.0,1849.0,1742.0,5226.0,2514.0,2250.0,34.0,500.0,1162.0,39.0,9.5,39.0
University of Alaska at Anchorage,AK,Alaska,West,Pacific,public,2065.0,1598.0,467.0,77.38,1162.0,,,6209.0,10537.0,1742.0,5226.0,2600.0,2520.0,114.0,580.0,1260.0,48.0,13.7,
Alabama Agri. & Mech. Univ.,AL,Alabama,South,East South Central,public,2817.0,1920.0,897.0,68.16,984.0,,,3958.0,305.0,1700.0,3400.0,1108.0,1442.0,155.0,500.0,850.0,53.0,14.3,40.0
Faulkner University,AL,Alabama,South,East South Central,private,345.0,320.0,25.0,92.75,179.0,,27.0,1367.0,578.0,5600.0,5600.0,1550.0,1700.0,300.0,350.0,,52.0,32.8,55.0
University of Montevallo,AL,Alabama,South,East South Central,public,1351.0,892.0,459.0,66.03,570.0,18.0,78.0,2385.0,331.0,2220.0,4440.0,,,124.0,300.0,600.0,72.0,18.9,51.0
Alabama State University,AL,Alabama,South,East South Central,public,4639.0,3272.0,1367.0,70.53,1278.0,,,4051.0,405.0,1500.0,3000.0,1960.0,,84.0,500.0,,48.0,18.7,15.0
Auburn University-Main Campus,AL,Alabama,South,East South Central,public,7548.0,6791.0,757.0,89.97,3070.0,25.0,57.0,16262.0,1716.0,2100.0,6300.0,,,,600.0,1908.0,85.0,16.7,69.0
Birmingham-Southern College,AL,Alabama,South,East South Central,private,805.0,588.0,217.0,73.04,287.0,67.0,88.0,1376.0,207.0,11660.0,11660.0,2050.0,2430.0,120.0,400.0,900.0,74.0,14.0,72.0
